id,ipo_id,object_id,valuation_amount,valuation_currency_code,raised_amount,raised_currency_code,public_at,stock_symbol,source_url,source_description,created_at,updated_at
1,1,c:1654,,USD,,USD,19/12/1980,NASDAQ:AAPL,,,9/2/2008 05:17:45,12/4/2012 04:02:59
2,2,c:1242,,USD,,,13/3/1986,NASDAQ:MSFT,,,9/2/2008 05:25:18,11/12/2010 12:39:46
3,3,c:342,,USD,,,9/6/1969,NYSE:DIS,,,9/2/2008 05:40:32,23/12/2010 08:58:16
4,4,c:59,,USD,,,25/8/2004,NASDAQ:GOOG,,,10/2/2008 22:51:24,1/8/2011 20:47:08
5,5,c:317,1E+11,USD,,,1/5/1997,NASDAQ:AMZN,,,10/2/2008 23:28:09,1/8/2011 21:11:22
6,6,c:1438,350000000,USD,87000000,USD,29/9/2006,SFLY,http://www.nasdaq.com/markets/ipos/company/shutterfly-inc-158820-50538,,11/2/2008 06:03:56,20/5/2013 03:48:47
7,7,c:2644,160000000,USD,,,1/5/2006,DIVX,,,25/2/2008 23:52:11,15/6/2008 02:58:53
8,8,c:2584,,USD,,USD,1/3/2004,OPESF,,,27/2/2008 20:22:31,8/5/2012 00:09:32
9,9,c:2720,,USD,,,2/12/1999,XOXO,,,29/2/2008 00:31:34,22/8/2011 02:11:44
10,11,c:3316,6000000000,USD,,USD,12/8/1988,NASDAQ:BMC,,,18/3/2008 14:07:10,21/10/2013 18:08:28
11,12,c:2537,,USD,,USD,19/3/1993,NASDAQ:INTU,,,22/3/2008 19:10:01,13/4/2012 04:23:15
12,13,c:475,235000000,USD,,,27/7/2010,KITD,,,24/3/2008 21:13:36,28/8/2011 01:57:06
13,14,c:283,,USD,,USD,22/8/1986,NASDAQ:ADBE,,,25/3/2008 21:34:12,13/4/2012 04:26:43
14,15,c:3619,,USD,,,1/1/2000,CMNN,,,26/3/2008 08:04:35,15/6/2008 03:05:38
15,16,c:3658,2000000000,USD,,,1/1/1992,BKS,,,27/3/2008 19:10:30,15/6/2008 03:06:09
16,17,c:108,,USD,254111,EUR,22/6/2007,BLNX,,,27/3/2008 22:02:50,2/5/2012 05:20:28
17,18,c:3754,,JPY,,JPY,16/6/1987,FORR,http://ttwxos.com/,cjhznoa,30/3/2008 16:44:42,1/8/2012 08:41:51
18,19,c:3952,,USD,,,1/1/2000,TSG,,,4/4/2008 20:08:26,31/7/2008 23:41:50
19,20,c:4018,4000000000,USD,,,5/8/2005,NASDAQ:BIDU,,,7/4/2008 23:30:28,18/11/2010 10:19:58
20,21,c:2335,,JPY,,JPY,23/5/2002,NASDAQ:NFLX,http://hbr.org/product/netflix-going-public/an/E155-PDF-ENG,Harvard Business Review,12/4/2008 21:22:08,9/8/2012 08:24:14
21,22,c:29,,USD,,USD,12/4/1996,NASDAQ:YHOO,,,12/4/2008 21:23:29,26/8/2013 04:45:07
22,24,c:351,,USD,,USD,4/12/2009,NYSE:AOL,,,12/4/2008 21:25:47,24/2/2012 22:01:26
23,25,c:424,,USD,,,29/9/1999,NASDAQ:AKAM,,,13/4/2008 14:59:34,15/11/2010 13:18:13
24,26,c:20,,USD,,USD,2/10/1998,NASDAQ:EBAY,,,13/4/2008 15:12:37,12/4/2012 04:24:15
25,27,c:1972,110000000,USD,,USD,2/7/2004,NYSE:CRM,,,14/4/2008 05:04:07,13/4/2012 03:44:42
26,28,c:966,,USD,,USD,11/4/1986,NYSE:EMC,,,14/4/2008 18:09:40,12/4/2012 04:00:48
27,29,c:500,100000000,USD,,,1/8/2006,JTV,,,16/4/2008 16:56:08,16/4/2008 16:56:08
28,30,c:4495,,,,,,tigr,,,18/4/2008 18:42:47,18/4/2008 18:42:47
29,31,c:3320,,CAD,,USD,23/6/1989,NASDAQ:SYMC,,,22/4/2008 17:00:21,16/4/2012 02:27:12
30,32,c:1863,,USD,35700000,EUR,,XNGAF,,,23/4/2008 01:47:24,11/9/2013 11:04:30
31,33,c:3827,,USD,,USD,,NYSE:S,,,29/4/2008 19:29:21,19/10/2012 04:17:20
32,34,c:4821,,USD,,,7/6/2007,INFN,,,29/4/2008 19:44:04,22/5/2008 18:20:03
33,35,c:5229,,USD,,USD,1/1/1998,NASDAQ:BBRY,,,12/5/2008 03:38:39,30/1/2013 16:15:56
34,36,c:4175,,USD,,,,NASDAQ:CMCSA,,,14/5/2008 23:02:31,23/11/2010 12:54:40
35,37,c:3657,11000000000,USD,,,,HK700,,,14/5/2008 23:46:19,15/5/2008 19:30:23
36,38,c:24,,USD,,,,NYSE:CBS,,,15/5/2008 14:52:58,18/11/2010 12:22:39
37,39,c:848,,USD,,USD,6/2/1998,NASDAQ:VRSN,,,15/5/2008 19:11:50,16/4/2012 04:01:45
38,40,c:474,,USD,,,31/10/2006,GOFH,,,15/5/2008 23:52:52,31/7/2008 23:23:29
39,42,c:5444,,,,,1/4/2000,SABA,,,16/5/2008 01:15:05,16/5/2008 01:18:32
40,43,c:5471,,USD,,USD,4/11/1988,NASDAQ:VOD,,,16/5/2008 18:02:21,24/4/2012 04:30:52
41,44,c:645,327000000,USD,,,22/3/2007,GLUU,,,20/5/2008 19:34:50,20/5/2008 19:47:58
