id,object_id,first_name,last_name,birthplace,affiliation_name,,,,,,,,,,
1,p:2,Ben,Elowitz,,Blue Nile,,,,,,,,,,
2,p:3,Kevin,Flaherty,,Wetpaint,,,,,,,,,,
3,p:4,Raju,Vegesna,,Zoho,,,,,,,,,,
4,p:5,Ian,Wenig,,Zoho,,,,,,,,,,
5,p:6,Kevin,Rose,"Redding, CA",i/o Ventures,,,,,,,,,,
6,p:7,Jay,Adelson,"Detroit, MI",Digg,,,,,,,,,,
7,p:8,Owen,Byrne,,Digg,,,,,,,,,,
8,p:9,Ron,Gorodetzky,,Digg,,,,,,,,,,
9,p:10,Mark,Zuckerberg,,Facebook,,,,,,,,,,
10,p:11,Dustin,Moskovitz,"Gainesville, FL",Facebook,,,,,,,,,,
11,p:12,Owen,Van Natta,,Asana,,,,,,,,,,
12,p:13,Matt,Cohler,,LinkedIn,,,,,,,,,,
13,p:14,Chris,Hughes,"Hickery, North Carolina",General Catalyst Partners,,,,,,,,,,
14,p:16,Alex,Welch,,C7 Group,,,,,,,,,,
15,p:17,Darren,Crystal,,Photobucket,,,,,,,,,,
16,p:18,Michael,Clark,,Photobucket (Old),,,,,,,,,,
17,p:19,Greg,Wimmer,,Photobucket,,,,,,,,,,
18,p:20,Peter,Foster,,Photobucket,,,,,,,,,,
19,p:21,Heather,Dana,,Photobucket,,,,,,,,,,
20,p:22,Peter,Pham,,"Photobucket, Inc.",,,,,,,,,,
21,p:23,Scott,Penberthy,,Photobucket,,,,,,,,,,
22,p:24,Alice,Lankester,"Surrey, England",Apple,,,,,,,,,,
23,p:25,Alex,Musil,,Photobucket,,,,,,,,,,
24,p:26,Peter,Thiel,,Confinity,,,,,,,,,,
25,p:29,Gus,Tai,,BillShrink,,,,,,,,,,
26,p:30,David,Sacks,,GumGum,,,,,,,,,,
27,p:31,Alan,Braverman,,Geni,,,,,,,,,,
28,p:32,Ken,Howery,,The Founder's Fund,,,,,,,,,,
29,p:33,Luke,Nosek,,The Founder's Fund,,,,,,,,,,
30,p:34,Sean,Parker,,Asana,,,,,,,,,,
31,p:35,George,Zachary,,Millennial Media,,,,,,,,,,
32,p:37,Greg,Waldorf,,Charles River Ventures,,,,,,,,,,
33,p:39,Jason,Rubin,USA,Monkey Gods,,,,,,,,,,
34,p:40,Andy,Gavin,,Flektor,,,,,,,,,,
